"city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target","gender_Female","gender_Male","gender_Other","relevent_experience_Has relevent experience","relevent_experience_No relevent experience","enrolled_university_Full time course","enrolled_university_no_enrollment","enrolled_university_Part time course","education_level_Graduate","education_level_High School","education_level_Masters","education_level_Phd","education_level_Primary School","major_discipline_Arts","major_discipline_Business Degree","major_discipline_Humanities","major_discipline_No Major","major_discipline_Other","major_discipline_STEM","company_size_<10","company_size_10-49","company_size_50-99","company_size_100-500","company_size_500-999","company_size_1000-4999","company_size_5000-9999","company_size_10000+","company_type_Early Stage Startup","company_type_Funded Startup","company_type_NGO","company_type_Other","company_type_Public Sector","company_type_Pvt Ltd","last_new_job_>4","last_new_job_1","last_new_job_2","last_new_job_3","last_new_job_4","last_new_job_never"
0.624,"Other","No relevent experience","Full time course","High School","STEM",2,"50-99","Pvt Ltd","never",32,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"5000-9999","Pvt Ltd","1",108,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"1000-4999","Pvt Ltd","3",23,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.624,"Male","No relevent experience","no_enrollment","Primary School","STEM",2,"50-99","Pvt Ltd","never",24,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.624,"Other","No relevent experience","Full time course","High School","STEM",5,"50-99","Pvt Ltd","never",26,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",16,"10-49","Pvt Ltd",">4",18,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",1,"50-99","Pvt Ltd","never",106,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM",2,"5000-9999","Pvt Ltd","2",7,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM",7,"10000+","Pvt Ltd","never",23,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.827,"Female","Has relevent experience","no_enrollment","Graduate","Arts",4,"50-99","Pvt Ltd","1",132,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.843,"Male","Has relevent experience","no_enrollment","Masters","STEM",11,"100-500","Pvt Ltd","1",68,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",11,"100-500","Pvt Ltd","2",50,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.804,"Other","Has relevent experience","no_enrollment","Masters","STEM",10,"50-99","Pvt Ltd","1",48,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.776,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",5,"1000-4999","Pvt Ltd","1",65,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM",5,"1000-4999","Pvt Ltd","1",13,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.855,"Other","No relevent experience","no_enrollment","High School","STEM",4,"50-99","Pvt Ltd","never",22,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.624,"Other","Has relevent experience","Part time course","Graduate","STEM",14,"500-999","Pvt Ltd","1",148,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts",5,"50-99","Pvt Ltd","2",72,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.887,"Male","Has relevent experience","no_enrollment","High School","STEM",11,"<10","Pvt Ltd","1",8,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",18,"50-99","Funded Startup","2",68,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","3",40,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.92,"Male","Has relevent experience","Part time course","Graduate","STEM",19,"5000-9999","Pvt Ltd",">4",141,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.92,"Female","No relevent experience","Full time course","Graduate","STEM",5,"50-99","Pvt Ltd","1",24,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd",">4",82,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.91,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree",12,"5000-9999","Pvt Ltd","3",145,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"10-49","Early Stage Startup","2",206,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.926,"Male","No relevent experience","Part time course","High School","STEM",1,"10000+","Other","1",152,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0.926,"Male","Has relevent experience","no_enrollment","Phd","STEM",5,"100-500","Pvt Ltd","4",42,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.92,"Other","No relevent experience","no_enrollment","Graduate","STEM",12,"50-99","Pvt Ltd","4",50,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.884,"Male","No relevent experience","no_enrollment","Primary School","STEM",3,"50-99","Pvt Ltd","never",106,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.926,"Female","Has relevent experience","Full time course","Masters","STEM",16,"1000-4999","Public Sector","2",14,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.924,"Male","Has relevent experience","no_enrollment","High School","STEM",4,"10-49","Pvt Ltd","2",36,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.624,"Other","Has relevent experience","no_enrollment","Masters","STEM",6,"50-99","Early Stage Startup","1",112,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.666,"Other","No relevent experience","no_enrollment","Graduate","No Major",9,"50-99","Pvt Ltd","never",108,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.624,"Male","Has relevent experience","Part time course","Masters","STEM",9,"5000-9999","Pvt Ltd","3",7,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.624,"Female","No relevent experience","Full time course","Masters","STEM",5,"50-99","Pvt Ltd","never",26,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","never",87,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",19,"10000+","Public Sector","4",52,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.558,"Male","Has relevent experience","no_enrollment","Graduate","No Major",15,"50-99","Pvt Ltd",">4",20,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM",11,"10-49","Pvt Ltd","1",21,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.558,"Male","No relevent experience","no_enrollment","Graduate","STEM",4,"50-99","Pvt Ltd","1",92,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"100-500","Pvt Ltd","2",102,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.794,"Male","No relevent experience","no_enrollment","Graduate","Humanities",5,"10000+","Pvt Ltd",">4",26,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0.924,"Other","Has relevent experience","no_enrollment","Masters","STEM",3,"<10","Early Stage Startup","2",7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.926,"Male","No relevent experience","Full time course","High School","STEM",4,"10000+","Pvt Ltd","1",43,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0.924,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","1",45,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.754,"Male","Has relevent experience","Full time course","Graduate","STEM",2,"50-99","Early Stage Startup","2",52,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","2",19,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.624,"Other","Has relevent experience","Full time course","Graduate","STEM",2,"10-49","Funded Startup","1",32,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.767,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",5,"100-500","Pvt Ltd",">4",26,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.855,"Male","Has relevent experience","Part time course","Graduate","STEM",6,"50-99","Pvt Ltd","1",90,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","3",25,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.827,"Other","Has relevent experience","no_enrollment","Masters","STEM",13,"<10","Pvt Ltd","1",15,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.887,"Male","Has relevent experience","no_enrollment","Masters","Humanities",5,"100-500","Pvt Ltd",">4",48,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.55,"Other","No relevent experience","Full time course","High School","STEM",3,"50-99","Pvt Ltd","1",98,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.865,"Male","Has relevent experience","no_enrollment","Graduate","STEM",10,"50-99","Pvt Ltd","2",142,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.855,"Other","No relevent experience","no_enrollment","Masters","Humanities",4,"10000+","Pvt Ltd","4",13,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd",">4",47,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.91,"Female","Has relevent experience","no_enrollment","Masters","Humanities",14,"500-999","Public Sector","1",28,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.698,"Other","No relevent experience","no_enrollment","Primary School","STEM",2,"50-99","Pvt Ltd","never",228,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","4",22,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.624,"Male","No relevent experience","Full time course","Graduate","STEM",5,"50-99","Pvt Ltd","never",18,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.827,"Male","Has relevent experience","no_enrollment","Graduate","STEM",2,"10-49","Pvt Ltd","1",29,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM",5,"100-500","Pvt Ltd","1",46,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.55,"Other","No relevent experience","Full time course","Graduate","STEM",5,"50-99","Pvt Ltd","never",12,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Pvt Ltd","2",17,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM",5,"50-99","Pvt Ltd","2",65,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities",3,"100-500","Pvt Ltd","1",35,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.855,"Male","No relevent experience","Full time course","Graduate","STEM",9,"10000+","Pvt Ltd","3",14,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM",2,"<10","Early Stage Startup","1",4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"50-99","Pvt Ltd",">4",12,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","2",108,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",5,"50-99","Pvt Ltd","1",136,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"10-49","Pvt Ltd","1",27,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.796,"Other","Has relevent experience","Part time course","Masters","STEM",4,"50-99","Funded Startup","1",74,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM",15,"10-49","Early Stage Startup","1",86,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.866,"Female","No relevent experience","Part time course","Graduate","STEM",5,"10-49","Pvt Ltd","2",83,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.92,"Other","No relevent experience","Full time course","High School","STEM",4,"50-99","Pvt Ltd","3",75,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.698,"Male","No relevent experience","Full time course","Masters","STEM",11,"50-99","Public Sector","2",42,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",6,"100-500","Pvt Ltd","1",332,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.913,"Male","No relevent experience","Full time course","Graduate","STEM",4,"50-99","Pvt Ltd","1",140,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.91,"Male","No relevent experience","no_enrollment","High School","STEM",3,"50-99","Pvt Ltd","never",182,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities",3,"100-500","Pvt Ltd","1",13,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.682,"Other","Has relevent experience","no_enrollment","Graduate","STEM",5,"10-49","Pvt Ltd","2",172,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",10,"100-500","NGO","1",48,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.802,"Male","Has relevent experience","Full time course","Graduate","STEM",9,"50-99","Pvt Ltd","1",33,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.92,"Other","No relevent experience","Full time course","High School","STEM",2,"100-500","Pvt Ltd","1",142,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.579,"Other","No relevent experience","Full time course","Graduate","STEM",2,"100-500","Pvt Ltd","1",34,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"50-99","Pvt Ltd","2",14,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM",6,"10-49","Pvt Ltd","2",27,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
